Номер;Дата;t6;T7;t8;t9
1;20.04.17 1:50:38;12,8;14,9;16,6;21,6
2;20.04.17 1:50:39;12,8;14,9;16,6;21,6
3;20.04.17 1:50:40;12,8;14,9;16,6;21,6
4;20.04.17 1:50:41;12,8;14,9;16,6;21,6
5;20.04.17 1:50:42;12,8;14,9;16,6;21,6
6;20.04.17 1:50:43;12,8;14,9;16,6;21,6
7;20.04.17 1:50:44;12,8;14,9;16,6;21,6
8;20.04.17 1:50:45;12,8;14,9;16,6;21,6
9;20.04.17 1:50:46;12,8;14,9;16,6;21,6
10;20.04.17 1:50:47;12,8;14,9;16,6;21,6
11;20.04.17 1:50:48;12,8;14,9;16,6;21,6
12;20.04.17 1:50:49;12,8;14,9;16,6;21,6
13;20.04.17 1:50:50;12,7;14,9;16,6;21,6
14;20.04.17 1:50:51;1а,7;14,9;16,6;21,6
15;20.04.17 1:50:52;12,7;14,9;16,6;21,6
16;20.04.17 1:50:53;12,8;14,9;16,6;21,6
17;20.04.17 1:50:54;12,8;14,9;16,6;21,6
18;20.04.17 1:50:55;12,8;14,8;16,6;21,6
19;20.04.17 1:50:56;12,8;14,8;16,6;21,6
20;20.04.17 1:50:57;12,7;14,8;16,6;21,6
21;20.04.17 1:50:58;12,7;14,8;16,6;21,6
22;20.04.17 1:50:59;12,7;14,8;16,6;21,6
23;20.04.17 1:51:00;12,7;14,8;16,6;21,6
24;20.04.17 1:51:01;12,8;14,8;16,6;21,6
25;20.04.17 1:51:02;12,8;14,8;16,6;21,6
26;20.04.17 1:51:03;12,8;14,8;16,6;21,6
27;20.04.17 1:51:04;12,8;14,8;16,6;21,6
28;20.04.17 1:51:05;12,8;14,8;16,6;21,6
29;20.04.17 1:51:06;12,7;14,8;16,6;21,6
30;20.04.17 1:51:07;12,7;14,8;16,6;21,6
31;20.04.17 1:51:08;12,7;14,8;16,6;21,6
32;20.04.17 1:51:09;12,8;14,8;16,6;21,6
33;20.04.17 1:51:10;12,8;14,8;16,5;21,6
34;20.04.17 1:51:11;12,8;14,8;16,5;21,6
35;20.04.17 1:51:12;12,8;14,8;16,5;21,6
36;20.04.17 1:51:13;12,8;14,8;16,5;21,6
37;20.04.17 1:51:14;12,8;14,8;16,5;21,6
38;20.04.17 1:51:15;12,8;14,8;16,5;21,6
39;20.04.17 1:51:16;12,8;14,8;16,5;21,6
40;20.04.17 1:51:17;12,8;14,8;16,5;21,6
41;20.04.17 1:51:18;12,8;14,8;16,5;21,6
42;20.04.17 1:51:19;12,8;14,8;16,5;21,6
43;20.04.17 1:51:20;12,7;14,8;16,5;21,6
44;20.04.17 1:51:21;12,7;14,8;16,5;21,6
45;20.04.17 1:51:22;12,7;14,8;16,5;21,6
46;20.04.17 1:51:23;12,8;14,8;16,5;21,6
47;20.04.17 1:51:24;12,8;14,8;16,5;21,6
48;20.04.17 1:51:25;12,8;14,8;16,5;21,6
49;20.04.17 1:51:26;12,8;14,8;16,5;21,6
50;20.04.17 1:51:27;12,7;14,8;16,5;21,6
51;20.04.17 1:51:28;12,7;14,8;16,5;21,6
52;20.04.17 1:51:29;12,7;14,9;16,5;21,6
53;20.04.17 1:51:30;12,7;14,9;16,5;21,6
54;20.04.17 1:51:31;12,7;14,9;16,5;21,6
55;20.04.17 1:51:32;12,7;14,9;16,5;21,6
56;20.04.17 1:51:33;12,8;14,9;16,5;21,6
57;20.04.17 1:51:34;12,8;14,9;16,5;21,6
58;20.04.17 1:51:35;12,8;14,9;16,5;21,6
59;20.04.17 1:51:36;12,7;14,9;16,5;21,6
60;20.04.17 1:51:37;12,8;15;16,5;21,6
61;20.04.17 1:51:38;12,8;15;16,5;21,6
62;20.04.17 1:51:39;12,8;15;16,6;21,6
63;20.04.17 1:51:40;12,8;15;16,6;21,6
64;20.04.17 1:51:41;12,8;15,1;16,6;21,6
65;20.04.17 1:51:42;12,8;15,1;16,6;21,6
66;20.04.17 1:51:43;12,8;15,1;16,6;21,6
67;20.04.17 1:51:44;12,8;15,2;16,6;21,6
68;20.04.17 1:51:45;12,8;15,2;16,6;21,6
69;20.04.17 1:51:46;12,8;15,2;16,6;21,6
70;20.04.17 1:51:47;12,8;15,2;16,6;21,6
71;20.04.17 1:51:48;12,8;15,2;16,6;21,6
72;20.04.17 1:51:49;12,8;15,3;16,6;21,6
73;20.04.17 1:51:50;12,8;15,3;16,6;21,6
74;20.04.17 1:51:51;12,8;15,3;16,6;21,6
75;20.04.17 1:51:52;12,8;15,3;16,6;21,6
76;20.04.17 1:51:53;12,8;15,3;16,7;21,6
77;20.04.17 1:51:54;12,8;15,3;16,7;21,6
78;20.04.17 1:51:55;12,8;15,3;16,7;21,6
79;20.04.17 1:51:56;12,8;15,4;16,7;21,6
80;20.04.17 1:51:57;12,8;15,4;16,7;21,6
81;20.04.17 1:51:58;12,8;15,4;16,7;21,6
82;20.04.17 1:51:59;12,8;15,5;16,7;21,6
83;20.04.17 1:52:00;12,8;15,5;16,7;21,6
84;20.04.17 1:52:01;12,8;15,5;16,7;21,6
85;20.04.17 1:52:02;12,8;15,5;16,8;21,6
86;20.04.17 1:52:03;12,8;15,5;16,8;21,6
87;20.04.17 1:52:04;12,8;15,6;16,8;21,5
88;20.04.17 1:52:05;12,8;15,6;16,8;21,5
89;20.04.17 1:52:06;12,8;15,6;16,8;21,5
90;20.04.17 1:52:07;12,8;15,6;16,8;21,6
91;20.04.17 1:52:08;12,8;15,6;16,8;21,6
92;20.04.17 1:52:09;12,7;15,6;16,8;21,6
93;20.04.17 1:52:10;12,7;15,6;16,8;21,6
